dolphin_id,dolphin_id,,dolphin_id_old_key,dolphin_id,dryad_id
587,SHC,,566,RPC,D1431
171,DEM,,132,COI,D1432
324,JFR,,208,ESP,D1433
531,PUC,,730,YAD,D1434
378,LIC,,580,SCM,D1435
353,KIT,,318,JBB,D1436
617,SPE,,432,MTE,D1437
462,NOO,,571,RYD,D1438
138,COR,,564,ROA,D1439
454,NIC,,224,FNG,D1440
595,SKF,,646,TEK,D1441
630,SUR,,402,MEY,D1442
512,POO,,415,MNM,D1443
587,SHC,,137,COP,D1444
531,PUC,,486,PDT,D1445
734,ZEN,,733,ZAM,D1446
22,APX,,709,WHN,D1447
494,PIC,,145,CRP,D1448
368,LAN,,429,MSL,D1449
161,DAG,,687,VEG,D1450
341,JSE,,584,SEQ,D1451
173,DID,,443,MYS,D1452
704,WED,,535,PZL,D1453
214,FAR,,198,EDE,D1454
287,HII,,490,PGP,D1455
550,REA,,92,BUD,D1456
509,POI,,332,JMM,D1457
199,EDG,,468,OKL,D1458
435,MUM,,30,ASN,D1459
481,PAS,,275,GUP,D1460
494,PIC,,710,WHO,D1461
531,PUC,,434,MUL,D1462
630,SUR,,689,VIK,D1463
324,JFR,,52,BGL,D1464
378,LIC,,350,KEE,D1465
173,DID,,26,ARP,D1466
317,JAS,,78,BOJ,D1467
595,SKF,,705,WEL,D1468
306,IMP,,343,JUI,D1469
102,BYT,,97,BUT,D1470
617,SPE,,413,MNG,D1471
512,POO,,216,FAU,D1472
138,COR,,20,APO,D1473
284,HHD,,642,TAZ,D1474
421,MOU,,542,RAG,D1475
622,SQU,,626,STA,D1476
595,SKF,,241,FUG,D1477
173,DID,,35,BAG,D1478
371,LAU,,675,ULY,D1479
531,PUC,,291,HNK,D1480
324,JFR,,153,CUV,D1481
378,LIC,,91,BTT,D1482
494,PIC,,731,YEL,D1483
734,ZEN,,475,ORI,D1484
409,MIN,,76,BNI,D1485
136,COO,,408,MIG,D1486
456,NIP,,75,BNG,D1487
661,TRY,,15,AMP,D1488
729,WYL,,712,WHT,D1489
215,FAT,,541,RAE,D1490
306,IMP,,196,ECO,D1491
601,SLI,,283,HFF,D1492
421,MOU,,334,JNG,D1493
201,EED,,308,INI,D1494
173,DID,,255,GHL,D1495
609,SMO,,381,LIP,D1496
587,SHC,,665,TTM,D1497
313,JAG,,428,MSC,D1498
368,LAN,,267,GRF,D1499
199,EDG,,717,WLV,D1500
462,NOO,,568,RSO,D1501
102,BYT,,586,SHB,D1502
461,NOG,,540,RAD,D1503
306,IMP,,174,DIG,D1504
419,MOG,,110,CED,D1505
601,SLI,,124,CLI,D1506
171,DEM,,410,MIS,D1507
353,KIT,,593,SIT,D1508
268,GRG,,536,PZZ,D1509
519,PRI,,412,MLO,D1510
63,BLI,,377,LGO,D1511
192,DUN,,534,PWE,D1512
531,PUC,,503,PLA,D1513
366,KWI,,517,PRC,D1514
614,SOG,,518,PRE,D1515
324,JFR,,613,SNW,D1516
426,MRS,,151,CUM,D1517
378,LIC,,146,CRS,D1518
511,PON,,340,JRN,D1519
419,MOG,,175,DIL,D1520
537,QUA,,276,GUS,D1521
407,MID,,645,TDT,D1522
622,SQU,,529,PTS,D1523
531,PUC,,10,ALO,D1524
494,PIC,,11,ALT,D1525
595,SKF,,157,CYP,D1526
102,BYT,,289,HLR,D1527
630,SUR,,602,SLN,D1528
609,SMO,,21,APS,D1529
368,LAN,,155,CVR,D1530
341,JSE,,210,EVI,D1531
324,JFR,,229,FOE,D1532
630,SUR,,695,VRG,D1533
409,MIN,,77,BOG,D1534
421,MOU,,107,CCO,D1535
171,DEM,,225,FNS,D1536
494,PIC,,195,DZL,D1537
587,SHC,,501,PKA,D1538
609,SMO,,72,BMN,D1539
324,JFR,,581,SCS,D1540
136,COO,,707,WHE,D1541
484,PCT,,302,HYR,D1542
341,JSE,,591,SHV,D1543
674,UHF,,54,BHM,D1544
737,ZIP,,166,DBT,D1545
531,PUC,,303,IBL,D1546
136,COO,,457,NIR,D1547
487,PEG,,295,HPP,D1548
353,KIT,,440,MYA,D1549
307,IND,,28,ASD,D1550
324,JFR,,242,FUT,D1551
378,LIC,,300,HUB,D1552
609,SMO,,651,TIM,D1553
368,LAN,,652,TMN,D1554
426,MRS,,207,ESM,D1555
630,SUR,,321,JCH,D1556
620,SPO,,329,JLO,D1557
531,PUC,,339,JPI,D1558
587,SHC,,411,MJV,D1559
484,PCT,,13,AME,D1560
700,WAR,,477,OSI,D1561
201,EED,,684,VCN,D1562
138,COR,,448,NEL,D1563
41,BAY,,654,TOG,D1564
630,SUR,,545,RBB,D1565
622,SQU,,483,PBL,D1566
171,DEM,,384,LLO,D1567
617,SPE,,31,ATC,D1568
102,BYT,,128,CLW,D1569
664,TSU,,400,MEO,D1570
136,COO,,387,LNX,D1571
609,SMO,,222,FKY,D1572
368,LAN,,522,PRS,D1573
494,PIC,,238,FSH,D1574
614,SOG,,248,GDL,D1575
288,HKI,,322,JCR,D1576
609,SMO,,714,WKA,D1577
368,LAN,,133,COK,D1578
531,PUC,,245,GAN,D1579
421,MOU,,327,JIT,D1580
